Sample	coding_exons	GtRNAdb	intergenic	lncRNA	miRNA	miRNA_primary_transcript	misc_RNA_ensembl	Mt_rRNA_ensembl	Mt_tRNA_ensembl	piRBase	protein_coding_gene	ribozyme_ensembl	rRNA_ensembl	scaRNA_ensembl	scRNA_ensembl	snoRNA_ensembl	snRNA_ensembl	sRNA_ensembl	unmapped_reads
SB_4N_1	219	245	1183	1435	563	2	1	18	15	156	1982	2	310	1	0	235	5	0	4518
SB_4N_2	176	191	1153	1323	194	1	1	3	6	176	1870	1	141	1	0	182	3	0	4487
SB_4N_3	142	212	894	1095	203	1	0	5	7	121	1489	0	151	0	0	209	8	0	3228
CL_1	1636	774	15284	6072	104	1	29	31	3	305	18400	5	24419	1	0	272	21	0	113900
CL_2	828	492	8012	3649	85	2	12	8	3	179	9642	7	8053	6	0	148	16	0	68059
CL_3	944	605	8567	3752	63	3	22	5	5	229	10423	0	11805	0	0	163	6	0	73654
4N_1	413	927	1282	2996	648	9	5	24	44	376	2143	0	256	0	0	274	15	0	8233
4N_2	66	14	706	589	39	0	0	0	3	19	1197	0	19	0	0	14	0	0	1031
4N_3	219	100	1731	1607	147	0	0	2	7	65	2797	0	72	1	0	96	3	0	2851
4N_C3_1	159	108	1627	2479	78	1	19	17	24	78	3938	7	2671	2	1	56	22	0	5417
4N_C3_2	196	53	1902	2774	33	0	5	19	12	27	4184	2	517	0	0	26	13	0	4045
4N_C3_3	59	35	452	365	43	0	0	1	1	16	794	0	13	0	0	16	0	0	1088
4N_CL_1	2018	9019	8431	20286	2132	0	41	39	169	4032	8735	0	4333	87	0	1675	34	0	62460
4N_CL_2	2050	13291	4939	17329	3427	66	0	84	102	4075	7844	0	4631	31	0	1789	93	0	39276
4N_CL_3	2038	14434	4817	18367	3014	0	0	96	28	4019	6490	22	3959	10	0	2086	104	0	50365
SBN_1	293	467	1918	2226	346	0	8	20	178	268	2867	2	263	2	0	523	16	0	9942
SBN_2	538	857	2313	3785	671	2	13	67	328	628	3109	8	581	6	0	1329	34	0	13873
SBN_3	368	584	2236	3187	486	0	11	44	184	493	3045	5	401	1	0	842	18	0	12262
SBN_CL_1	6958	12298	21071	63391	12200	23	315	610	1159	14500	26444	103	11691	70	0	25779	403	4	156853
SBN_CL_2	5923	11228	17369	54214	10753	38	261	523	1116	12286	22389	101	8062	69	0	21141	299	2	136978
SBN_CL_3	7952	14514	23487	77078	13394	59	335	696	1170	18358	30446	182	12376	70	0	30149	580	0	172390
SB_1	5305	11036	36636	53448	5777	7	86	411	732	12969	46093	37	15403	23	0	15487	338	0	326196
SB_2	7348	19440	45588	44405	12175	8	336	759	3020	5575	53116	127	21493	82	8	28938	447	0	365177
SB_3	3608	10130	23559	23192	6247	7	114	387	959	3347	26596	53	9731	20	8	11601	181	0	214724
SB_4	2001	23917	17235	38862	6416	10	180	2700	1799	10973	19148	35	4893	19	1	4836	206	3	132707
SB_5	1722	22394	15210	34899	5138	15	123	2269	2290	9704	15081	60	6124	23	1	6866	231	0	110450
SB_6	2586	23751	22818	40948	5972	16	164	2463	1713	10503	26036	45	4944	27	0	5197	239	2	134368
SB_4N_4	1262	4980	8269	19573	2958	7	21	1474	482	3897	12684	9	1883	4	1	1937	80	0	66513
SB_4N_5	1867	6219	13569	27082	3766	12	24	1691	627	5181	21326	16	2179	9	0	2592	90	0	87492
SB_4N_6	1152	4809	7699	18905	2956	10	18	1219	593	3743	11881	11	1683	8	0	1769	76	0	65808
SBN_4	1866	17244	10398	24614	4414	10	270	4348	4442	5180	13166	63	3997	14	2	5768	225	3	102855
SBN_5	2642	19614	18069	33404	5225	13	341	3012	5725	6075	25249	72	4281	26	0	6240	222	0	128350
SBN_6	1796	16849	10994	26592	4724	10	294	2564	4938	5380	14600	59	4068	26	6	6020	233	0	109367
SBN_CL_4	2168	24659	15533	38055	5177	9	332	3192	2683	8920	21053	50	5778	21	0	8857	189	2	143002
SBN_CL_5	2669	25871	21403	42134	5611	13	342	2285	2986	9287	30135	65	7433	23	0	9316	192	9	155153
SBN_CL_6	2892	25593	24087	41687	4611	12	307	2416	4733	8196	31808	80	11521	27	2	9728	200	7	137615
4N_4	659	193	5744	4714	296	0	0	80	22	155	9564	1	52	2	0	177	3	0	8521
4N_5	1078	648	8969	8633	979	4	4	248	95	544	14702	0	157	3	0	489	14	0	19048
4N_6	1423	792	11572	10885	1050	3	5	304	112	564	19095	6	178	1	0	546	12	0	22336
4N_C3_4	619	1607	4692	6408	1371	3	19	252	109	757	6992	4	204	2	0	683	24	0	20985
4N_C3_5	268	1208	2144	3901	1165	0	16	207	73	607	2982	3	222	0	0	467	17	0	14118
4N_C3_6	524	1281	4014	5439	1242	4	17	287	112	639	6253	6	166	1	0	402	19	1	18688
4N_CL_4	2016	17992	12508	31718	4447	17	69	1616	275	6715	19964	40	3169	0	0	5575	115	0	120647
4N_CL_5	2891	26343	18109	48079	7410	0	107	2072	430	10091	27222	92	4113	25	0	8033	142	0	183606
4N_CL_6	2257	17219	16972	33924	4695	20	96	1340	248	6611	26482	45	2708	14	0	4617	134	0	125058
CL_4	1584	13251	11405	24882	1942	22	134	1072	349	4558	18920	82	4035	27	0	6162	328	0	80027
CL_5	1522	18033	11262	31326	2535	7	72	1579	457	5778	19502	111	5842	84	0	9325	427	0	101394
CL_6	1718	17815	15390	39491	2690	60	100	2398	616	8142	24716	126	5808	33	0	9552	481	0	119690
